Study/Year/Country,Title,Study Design,"double-blind or more? (yes, no)",target diagnosis for  meta analysis,Population,baseline vitamin deficiency prop,Baseline Vitamin/Mineral Level,baseline vitamin/mineral sd,Final Vitamin/Mineral Level,Final Vitamin/Mineral SD,Summary of Study Selection Criteria,psych dx,low vitamin,pop dx,Total Sample Size (N),Intervention,Dose,Frequency,total average daily dose,Number of treatment arms (N),Number in each Treatment Arm (N),Duration (weeks),Scale Name,baseline N,Baseline outcome measure (if recorded),Standard Deviation of baseline outcome (if given),final N,Final Outcome Measures,Standard Deviation of outcome (if given),Standard Error of outcome (if given),Mean Age (Years),Sex (% Male),Key Findings,Adverse Events,Sequence generation risk of bias,allocation concealment risk of bias,blinding of participants risk of bias,blinding of outcome assessers,incomplete outcome risk of bias,selective outcome reporting risk of bias,other sources of bias,overall risk of bias,,flag,gain mean,gain sd,gain se,p,secondary flag,secondary gain mean,secondary gain sd,adverse rate,adverse count,censor direction,prob,total
Sahraian/2015/Iran,"Vitamin C as an adjuvant for treating major depressive disorder and suicidal behavior, a randomized placebo-controlled clinical trial",Randomized Controlled Trial,yes,depression,"18-65, with depression, outpatient",,,,,,"Adult patients (aged 18 to 65 years old) who met the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV) criteria for MDD. A score of 16 or higher on the Hamilton Depression Rating Scale (HDRS). Untreated patients with no psychotropic medication for at least 4 weeks. Both genders. Excluded if: 1) significant co-morbid psychiatric illness, hypothyroidism or severe medical conditions such as epilepsy; 2) psychotic features or bipolar mood disorder or any other psychiatric disorder;
current substance abuse except cigarette smoking; suicidal attempt; oral contraception use; pregnancy; breast-feeding; intention to become pregnant during this trial; a history of allergic reactions to vitamin C or citalopram; and receiving psychotropic medication.",depression,,,43,citalopram,,,,2,22,8,HAM-D,22,22.4,3,22,9.3,6.3,,34.2,22.8,"Adding vitamin C to citalopram did not increase the efficacy of citalopram in MDD patients. vitamin C
plus citalopram is as effective as placebo plus citalopram for treating adult patients with suicidal behavior. No serious
adverse effect for this combination was identified during this trial.",none,low,low,low,low,high,low,low,high,,,,,,,,,,,,>=,12,
Sahraian/2015/Iran,"Vitamin C as an adjuvant for treating major depressive disorder and suicidal behavior, a randomized placebo-controlled clinical trial",Randomized Controlled Trial,yes,depression,"18-65, with depression, outpatient",,,,,,"Adult patients (aged 18 to 65 years old) who met the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV) criteria for MDD. A score of 16 or higher on the Hamilton Depression Rating Scale (HDRS). Untreated patients with no psychotropic medication for at least 4 weeks. Both genders. Excluded if: 1) significant co-morbid psychiatric illness, hypothyroidism or severe medical conditions such as epilepsy; 2) psychotic features or bipolar mood disorder or any other psychiatric disorder;
current substance abuse except cigarette smoking; suicidal attempt; oral contraception use; pregnancy; breast-feeding; intention to become pregnant during this trial; a history of allergic reactions to vitamin C or citalopram; and receiving psychotropic medication.",depression,,,43,"vitamin C, citalopram","1000 mg, 20 mg",daily,"1000 mg, 20 mg",2,21,8,Beck Depression Inventory,21,23.9,8.3,21,8.6,10.7,,32.7,28.6,"Adding vitamin C to citalopram did not increase the efficacy of citalopram in MDD patients. vitamin C
plus citalopram is as effective as placebo plus citalopram for treating adult patients with suicidal behavior. No serious
adverse effect for this combination was identified during this trial.",none,low,low,low,low,high,low,low,high,,,,,,,,,,,,>=,12,
Sahraian/2015/Iran,"Vitamin C as an adjuvant for treating major depressive disorder and suicidal behavior, a randomized placebo-controlled clinical trial",Randomized Controlled Trial,yes,depression,"18-65, with depression, outpatient",,,,,,"Adult patients (aged 18 to 65 years old) who met the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV) criteria for MDD. A score of 16 or higher on the Hamilton Depression Rating Scale (HDRS). Untreated patients with no psychotropic medication for at least 4 weeks. Both genders. Excluded if: 1) significant co-morbid psychiatric illness, hypothyroidism or severe medical conditions such as epilepsy; 2) psychotic features or bipolar mood disorder or any other psychiatric disorder;
current substance abuse except cigarette smoking; suicidal attempt; oral contraception use; pregnancy; breast-feeding; intention to become pregnant during this trial; a history of allergic reactions to vitamin C or citalopram; and receiving psychotropic medication.",depression,,,43,citalopram,,,,2,22,8,Beck Depression Inventory,22,22.8,9.8,22,9,9.6,,34.2,22.8,"Adding vitamin C to citalopram did not increase the efficacy of citalopram in MDD patients. vitamin C
plus citalopram is as effective as placebo plus citalopram for treating adult patients with suicidal behavior. No serious
adverse effect for this combination was identified during this trial.",none,low,low,low,low,high,low,low,high,,,,,,,,,,,,>=,12,
Syed/2013/Pakistan,Vitamin B12 supplementation in treating major depressive disorder: a randomized controlled trial,Randomized Controlled Trial,no,depression,"no age limits, patient's with depression and low vitamin B levels, outpatient",,vitamin b12: 238.49 pg/mL,vitamin b12: 33.21 pg/mL,,,"Patients with depression (HAM-D >20) and low normal B12 levels (190-300 pg/mL). Patients with concurrent unstable medical illness, history of manic episodes or psychotic illness, psychotic symptoms in a depressive episode, concurrent substance misuse and patients with suicidal ideation were excluded. B12 deficiency (<190 pg/mL) ",depression,vitamin B12,,73,"vitamin B12, SSRI/TCA","1000 ug, various","weekly, daily","1000 ug, various",2,34,12,HAM-D,34,23.21,5.85,34,12.12,5.12,,37.68,52.9,Power of study limited given small sample size but provides good pilot evidence suggesting that supplementation of B12 in pts with low normal B12 levels can be effective adjuct treatment in addition to antidepressant medication. ,none,low,high,high,low,high,high,high,high,,gain scores,-11.09,4.58,,,,,,0,0,,,
Syed/2013/Pakistan,Vitamin B12 supplementation in treating major depressive disorder: a randomized controlled trial,Randomized Controlled Trial,no,depression,"no age limits, patient's with depression and low vitamin B levels, outpatient",,vitamin b12: 245.16 pg/mL,vitamin b12: 27.82 pg/mL,,,"Patients with depression (HAM-D >20) and low normal B12 levels (190-300 pg/mL). Patients with concurrent unstable medical illness, history of manic episodes or psychotic illness, psychotic symptoms in a depressive episode, concurrent substance misuse and patients with suicidal ideation were excluded. B12 deficiency (<190 pg/mL) ",depression,vitamin B12,,73,SSRI/TCA,various,daily,various,2,39,12,HAM-D,39,19.38,5.7,39,14.38,4.73,,36.56,51.53,Power of study limited given small sample size but provides good pilot evidence suggesting that supplementation of B12 in pts with low normal B12 levels can be effective adjuct treatment in addition to antidepressant medication. ,none,low,high,high,low,high,high,high,high,,gain scores,-5,0.38,,,,,,0,0,,,
Khoraminya/2013/Iran,Therapeutic effects of vitamin D as adjunctive therapy to fluoxetine in patients with major depressive disorder,Randomized Controlled Trial,yes,depression,"18-65, patients with depression, outpatient",,25(OH)D: 23.55 ng/mL,25(OH)D: 4.03 ng/mL,25(OH)D: 46.85 ng/mL,25(OH)D: 14.14 ng/mL,"Aged between 18 and 65 years old. Diagnosis of major depressive disorder without psychotic features based on DSM-IV criteria. A score of ≥ 15 on the 17-item Hamilton. Depression Rating Scale (HDRS). Had not taken any antidepressant or dietary supplements during the previous 2 months. Free from other psychiatric diagnoses, significant medical illnesses, or suicidal thoughts. Willing to participate in the study. 
Substance abuse, pregnancy and lactation, and the occurrence of important adverse effects from medications",depression,,,42,"vitamin D, fluoxetine","1500 IU, 20 mg",daily,"1500 IU, 20 mg",2,20,8,HAM-D,20,29.4,5.23,20,11.7,4.6,,38.1,15,The vitamin D + fluoxetine combination was significantly better than fluoxetine alone from the fourth week of treatment.,"1 person had severe anxiety in week 2, withdrew",some concerns,some concerns,low,low,low,low,low,low,based on ANOVA,hedge's g,-0.9058,0.3261,,,,,,0.05,1,,,
Khoraminya/2013/Iran,Therapeutic effects of vitamin D as adjunctive therapy to fluoxetine in patients with major depressive disorder,Randomized Controlled Trial,yes,depression,"18-65, patients with depression, outpatient",,25(OH)D: 23.05 ng/mL,25(OH)D: 4.42 ng/mL,,,"Aged between 18 and 65 years old. Diagnosis of major depressive disorder without psychotic features based on DSM-IV criteria. A score of ≥ 15 on the 17-item Hamilton. Depression Rating Scale (HDRS). Had not taken any antidepressant or dietary supplements during the previous 2 months. Free from other psychiatric diagnoses, significant medical illnesses, or suicidal thoughts. Willing to participate in the study. 
Substance abuse, pregnancy and lactation, and the occurrence of important adverse effects from medications",depression,,,42,fluoxetine,,daily,,2,20,8,HAM-D,20,30.2,5.83,20,17.2,4.16,,39.65,15,The vitamin D + fluoxetine combination was significantly better than fluoxetine alone from the fourth week of treatment.,"1 person had severe anxiety in week 2, withdrew",some concerns,some concerns,low,low,low,low,low,low,,,0,0.3261,,,,,,0,0,,,
Khoraminya/2013/Iran,Therapeutic effects of vitamin D as adjunctive therapy to fluoxetine in patients with major depressive disorder,Randomized Controlled Trial,yes,depression,"18-65, patients with depression, outpatient",,25(OH)D: 23.55 ng/mL,25(OH)D: 4.03 ng/mL,25(OH)D: 46.85 ng/mL,25(OH)D: 14.14 ng/mL,"Aged between 18 and 65 years old. Diagnosis of major depressive disorder without psychotic features based on DSM-IV criteria. A score of ≥ 15 on the 17-item Hamilton. Depression Rating Scale (HDRS). Had not taken any antidepressant or dietary supplements during the previous 2 months. Free from other psychiatric diagnoses, significant medical illnesses, or suicidal thoughts. Willing to participate in the study. 
Substance abuse, pregnancy and lactation, and the occurrence of important adverse effects from medications",depression,,,42,"vitamin D, fluoxetine","1500 IU, 20 mg",daily,"1500 IU, 20 mg",2,20,8,Beck Depression Inventory,20,32.45,7.35,20,13.2,8.64,,38.1,15,The vitamin D + fluoxetine combination was significantly better than fluoxetine alone from the fourth week of treatment.,"1 person had severe anxiety in week 2, withdrew",some concerns,some concerns,low,low,low,low,low,low,based on ANOVA,hedge's g,-0.8035,0.3227,,,,,,0.05,1,,,
Khoraminya/2013/Iran,Therapeutic effects of vitamin D as adjunctive therapy to fluoxetine in patients with major depressive disorder,Randomized Controlled Trial,yes,depression,"18-65, patients with depression, outpatient",,25(OH)D: 23.05 ng/mL,25(OH)D: 4.42 ng/mL,0,0,"Aged between 18 and 65 years old. Diagnosis of major depressive disorder without psychotic features based on DSM-IV criteria. A score of ≥ 15 on the 17-item Hamilton. Depression Rating Scale (HDRS). Had not taken any antidepressant or dietary supplements during the previous 2 months. Free from other psychiatric diagnoses, significant medical illnesses, or suicidal thoughts. Willing to participate in the study. 
Substance abuse, pregnancy and lactation, and the occurrence of important adverse effects from medications",depression,,,42,fluoxetine,,daily,,2,20,8,Beck Depression Inventory,20,31.65,7.33,20,17.95,6.31,,39.65,15,The vitamin D + fluoxetine combination was significantly better than fluoxetine alone from the fourth week of treatment.,"1 person had severe anxiety in week 2, withdrew",some concerns,some concerns,low,low,low,low,low,low,,,0,0.3227,,,,,,0,0,,,
Scholten/2018/Netherlands,Surplus vitamin B(12) use does not reduce fatigue in patients with Irritable Bowel Syndrome or inflammatory bowel disease: A randomized double-blind placebo-controlled trial,Randomized Controlled Trial,yes,depression,"18-65, patients with IBS experiencing fatigue, outpatient",,vitamin b12: 311.0 pmol/l,vitamin b12: 113.1 pmol/l,vitamin b12: 565.2 pmol/l,vitamin b12: 205.8 pmol/l,"IBS according to Rome III criteria, IBD by histopathologic confirmation, 18-65 years old based on entry date into study, experience of fatigue for at least 3 months or elevated or severe fatigue score (>= 27 on the 8 item subscale of the CIS), serum vitamin B12 level >=150 pmol/l, hemoglobin level (male): 8.5-11 mmol/l, hemoglobin level (female): 7.5-11.0 mmol/l, signed informed consent. no use of B12 supplements or B12 injections in last 2 months, no use of iron supplements in last 2 months, no subjects who underwent a bowel resection, no participation in any kind of therapy that might prevent fatigue, no prednisone therapy",none,,IBS,2,vitamin B12,1000 ug,daily,1000 ug,2,44,8,CES-D,43,19.4,5.2,43,18,6.5,,41,26.32,"This study did not con rm the expected effect of non-conventional surplus vit B12 supple-
mentation on fatigue in IBS or IBD patients. In addition, no positive effect was observed on depression or
quality of life. We conclude that surplus treatment with vitamin B12 in IBS and IBD patients suffering
from fatigue has no bene cial clinical effect.",none,some concerns,some concerns,low,low,some concerns,some concerns,low,some concerns,,gain scores,-1.4,6.5,,,,,,0,0,,,
Scholten/2018/Netherlands,Surplus vitamin B(12) use does not reduce fatigue in patients with Irritable Bowel Syndrome or inflammatory bowel disease: A randomized double-blind placebo-controlled trial,Randomized Controlled Trial,yes,depression,"18-65, patients with IBS experiencing fatigue, outpatient",,vitamin b12: 318.5 pmol/l,vitamin b12: 142.5 pmol/l,vitamin b12: 331.1 pmol/l,vitamin b12: 136.3 pmol/l,"IBS according to Rome III criteria, IBD by histopathologic confirmation, 18-65 years old based on entry date into study, experience of fatigue for at least 3 months or elevated or severe fatigue score (>= 27 on the 8 item subscale of the CIS), serum vitamin B12 level >=150 pmol/l, hemoglobin level (male): 8.5-11 mmol/l, hemoglobin level (female): 7.5-11.0 mmol/l, signed informed consent. no use of B12 supplements or B12 injections in last 2 months, no use of iron supplements in last 2 months, no subjects who underwent a bowel resection, no participation in any kind of therapy that might prevent fatigue, no prednisone therapy",none,,IBS,2,placebo,,daily,,2,49,8,CES-D,49,18.5,5.1,49,16.6,4.6,,41,26.32,"This study did not con rm the expected effect of non-conventional surplus vit B12 supple-
mentation on fatigue in IBS or IBD patients. In addition, no positive effect was observed on depression or
quality of life. We conclude that surplus treatment with vitamin B12 in IBS and IBD patients suffering
from fatigue has no bene cial clinical effect.",none,some concerns,some concerns,low,low,some concerns,some concerns,low,some concerns,,gain scores,-1.9,4.9,,,,,,0,0,,,
Scholten/2018/Netherlands,Surplus vitamin B(12) use does not reduce fatigue in patients with Irritable Bowel Syndrome or inflammatory bowel disease: A randomized double-blind placebo-controlled trial,Randomized Controlled Trial,yes,depression,"18-65, patients with IBS experiencing fatigue, outpatient",,vitamin b12: 311.0 pmol/l,vitamin b12: 113.1 pmol/l,vitamin b12: 565.2 pmol/l,vitamin b12: 205.8 pmol/l,"IBS according to Rome III criteria, IBD by histopathologic confirmation, 18-65 years old based on entry date into study, experience of fatigue for at least 3 months or elevated or severe fatigue score (>= 27 on the 8 item subscale of the CIS), serum vitamin B12 level >=150 pmol/l, hemoglobin level (male): 8.5-11 mmol/l, hemoglobin level (female): 7.5-11.0 mmol/l, signed informed consent. no use of B12 supplements or B12 injections in last 2 months, no use of iron supplements in last 2 months, no subjects who underwent a bowel resection, no participation in any kind of therapy that might prevent fatigue, no prednisone therapy",none,,IBS,2,vitamin B12,1000 ug,daily,1000 ug,2,44,8,HADS-D,43,9.6,2.7,43,9.6,2.3,,41,26.32,"This study did not con rm the expected effect of non-conventional surplus vit B12 supple-
mentation on fatigue in IBS or IBD patients. In addition, no positive effect was observed on depression or
quality of life. We conclude that surplus treatment with vitamin B12 in IBS and IBD patients suffering
from fatigue has no bene cial clinical effect.",none,some concerns,some concerns,low,low,some concerns,some concerns,low,some concerns,,gain scores,0,2.4,,,,,,0,0,,,
Scholten/2018/Netherlands,Surplus vitamin B(12) use does not reduce fatigue in patients with Irritable Bowel Syndrome or inflammatory bowel disease: A randomized double-blind placebo-controlled trial,Randomized Controlled Trial,yes,depression,"18-65, patients with IBS experiencing fatigue, outpatient",,vitamin b12: 318.5 pmol/l,vitamin b12: 142.5 pmol/l,vitamin b12: 331.1 pmol/l,vitamin b12: 136.3 pmol/l,"IBS according to Rome III criteria, IBD by histopathologic confirmation, 18-65 years old based on entry date into study, experience of fatigue for at least 3 months or elevated or severe fatigue score (>= 27 on the 8 item subscale of the CIS), serum vitamin B12 level >=150 pmol/l, hemoglobin level (male): 8.5-11 mmol/l, hemoglobin level (female): 7.5-11.0 mmol/l, signed informed consent. no use of B12 supplements or B12 injections in last 2 months, no use of iron supplements in last 2 months, no subjects who underwent a bowel resection, no participation in any kind of therapy that might prevent fatigue, no prednisone therapy",none,,IBS,2,placebo,,daily,,2,49,8,HADS-D,49,9,1.6,49,9,1.6,,41,26.32,"This study did not con rm the expected effect of non-conventional surplus vit B12 supple-
mentation on fatigue in IBS or IBD patients. In addition, no positive effect was observed on depression or
quality of life. We conclude that surplus treatment with vitamin B12 in IBS and IBD patients suffering
from fatigue has no bene cial clinical effect.",none,some concerns,some concerns,low,low,some concerns,some concerns,low,some concerns,,gain scores,0,1.9,,,,,,0,0,,,
Scholten/2018/Netherlands,Surplus vitamin B(12) use does not reduce fatigue in patients with Irritable Bowel Syndrome or inflammatory bowel disease: A randomized double-blind placebo-controlled trial,Randomized Controlled Trial,yes,anxiety,"18-65, patients with IBS experiencing fatigue, outpatient",,vitamin b12: 311.0 pmol/l,vitamin b12: 113.1 pmol/l,vitamin b12: 565.2 pmol/l,vitamin b12: 205.8 pmol/l,"IBS according to Rome III criteria, IBD by histopathologic confirmation, 18-65 years old based on entry date into study, experience of fatigue for at least 3 months or elevated or severe fatigue score (>= 27 on the 8 item subscale of the CIS), serum vitamin B12 level >=150 pmol/l, hemoglobin level (male): 8.5-11 mmol/l, hemoglobin level (female): 7.5-11.0 mmol/l, signed informed consent. no use of B12 supplements or B12 injections in last 2 months, no use of iron supplements in last 2 months, no subjects who underwent a bowel resection, no participation in any kind of therapy that might prevent fatigue, no prednisone therapy",none,,IBS,2,vitamin B12,1000 ug,daily,1000 ug,2,44,8,HADS-A,43,12.5,2.3,43,12.6,2.2,,41,26.32,"This study did not con rm the expected effect of non-conventional surplus vit B12 supple-
mentation on fatigue in IBS or IBD patients. In addition, no positive effect was observed on depression or
quality of life. We conclude that surplus treatment with vitamin B12 in IBS and IBD patients suffering
from fatigue has no bene cial clinical effect.",none,some concerns,some concerns,low,low,some concerns,some concerns,low,some concerns,,gain scores,0.1,2,,,,,,0,0,,,
Scholten/2018/Netherlands,Surplus vitamin B(12) use does not reduce fatigue in patients with Irritable Bowel Syndrome or inflammatory bowel disease: A randomized double-blind placebo-controlled trial,Randomized Controlled Trial,yes,anxiety,"18-65, patients with IBS experiencing fatigue, outpatient",,vitamin b12: 318.5 pmol/l,vitamin b12: 142.5 pmol/l,vitamin b12: 331.1 pmol/l,vitamin b12: 136.3 pmol/l,"IBS according to Rome III criteria, IBD by histopathologic confirmation, 18-65 years old based on entry date into study, experience of fatigue for at least 3 months or elevated or severe fatigue score (>= 27 on the 8 item subscale of the CIS), serum vitamin B12 level >=150 pmol/l, hemoglobin level (male): 8.5-11 mmol/l, hemoglobin level (female): 7.5-11.0 mmol/l, signed informed consent. no use of B12 supplements or B12 injections in last 2 months, no use of iron supplements in last 2 months, no subjects who underwent a bowel resection, no participation in any kind of therapy that might prevent fatigue, no prednisone therapy",none,,IBS,2,placebo,,daily,,2,49,8,HADS-A,49,12.2,2.5,49,13.1,2.1,,41,26.32,"This study did not con rm the expected effect of non-conventional surplus vit B12 supple-
mentation on fatigue in IBS or IBD patients. In addition, no positive effect was observed on depression or
quality of life. We conclude that surplus treatment with vitamin B12 in IBS and IBD patients suffering
from fatigue has no bene cial clinical effect.",none,some concerns,some concerns,low,low,some concerns,some concerns,low,some concerns,,gain scores,0.9,1.9,,,,,,0,0,,,
Narula/2017/Canada,Impact of High-Dose Vitamin D3 Supplementation in Patients with Crohn's Disease in Remission: A Pilot Randomized Double-Blind Controlled Study,Randomized Controlled Trial,yes,depression,Crohn's disease (in remission,,vitamin D: 71.3 nmol/l,vitamin D: 7.3 nmol/l,vitamin D: 82.8 nmol/l,vitamin D: 26.3 nmol/l,Patients with crohn's disease on stable doses of CD meds in remission,none,,Crohn's,45,vitamin D,1000 IU,daily,1000 IU,2,16,52,depression per HADS-D,7,0.571428571,0.494871659,7,0.428571429,0.494871659,,35,37,"
Patients receiving either dose of vitamin D3 demonstrated improvement in mood, and the dose of 10,000 IU daily showed promise for normalizing mood symptoms in those with clinical anxiety and depression. The number of patients with baseline clinical anxiety and depression was small however, and further investigation of vitamin D3 therapy for improvement in mood is needed",1 nausea 1 heart burn,low,low,low,low,high,low,high,high,,,,,,,,,,0.285714286,2,,,
Narula/2017/Canada,Impact of High-Dose Vitamin D3 Supplementation in Patients with Crohn's Disease in Remission: A Pilot Randomized Double-Blind Controlled Study,Randomized Controlled Trial,yes,depression,Crohn's disease (in remission,,vitamin D: 73.5 nmol/l ,vitamin D: 11.7 nmol/l ,vitamin D: 160.8 nmol/l,vitamin D: 43.2 nmol/l,Patients with crohn's disease on stable doses of CD meds in remission,none,,Crohn's,45,vitamin D,10000 IU,daily,10000 IU,2,18,52,depression per HADS-D,11,0.636363636,0.481045693,11,0.272727273,0.445361771,,33,44,,1 excessive acne,low,low,low,low,high,low,high,high,,,,,,,,,,0.090909091,1,,,
Field/2022/UK,High-dose Vitamin B6 supplementation reduces anxiety and strengthens visual surround suppression,Randomized Controlled Trial,yes,anxiety,adults (mostly students),,,,,,adults with no lactose intolerance and not taking multivitamins,none,,,478,vitamin b6,100 mg,daily,100 mg,3,107,5,SCAARED,107,24.8,12.2,88,21.5,12.7,,23,19.4,"Data is limited by fact that not all participants completed all outcomes and also lack of baseline characteristic data other than age and gender. Data suggests that B6 may help with anxiety but has no affect on depression. B12 has no significant affect on depression or anxiety in this population. No vitamin levels were tested. B6 supplementation reduced self‐reported anxiety symptoms, with a larger effect size for GAD symptoms.",not reported,low,low,low,low,high,high,high,high,,gain scores,-3.3,8.819585189,,,,,,,,,,
Field/2022/UK,High-dose Vitamin B6 supplementation reduces anxiety and strengthens visual surround suppression,Randomized Controlled Trial,yes,anxiety,adults (mostly students),,,,,,adults with no lactose intolerance and not taking multivitamins,none,,,478,vitamin b12,1000 ug,daily,1000 ug,3,108,5,SCAARED,108,24.5,14.3,90,23,14.4,,23,19.4,"Data is limited by fact that not all participants completed all outcomes and also lack of baseline characteristic data other than age and gender. Data suggests that B6 may help with anxiety but has no affect on depression. B12 has no significant affect on depression or anxiety in this population. No vitamin levels were tested. We found no clearly significant effects of vitamin B12 supplementation on the outcome measures, although there was a suggestive trend towards reduced anxiety",not reported,low,low,low,low,high,high,high,high,,gain scores,-1.5,7.733831234,,,,,,,,,,
Field/2022/UK,High-dose Vitamin B6 supplementation reduces anxiety and strengthens visual surround suppression,Randomized Controlled Trial,yes,anxiety,adults (mostly students),,,,,,adults with no lactose intolerance and not taking multivitamins,none,,,478,placebo,,daily,,3,96,5,SCAARED,96,25.1,13.2,87,23.9,14.6,,23,19.4,"Data is limited by fact that not all participants completed all outcomes and also lack of baseline characteristic data other than age and gender. Data suggests that B6 may help with anxiety but has no affect on depression. B12 has no significant affect on depression or anxiety in this population. No vitamin levels were tested. B6 supplementation reduced self‐reported anxiety symptoms, with a larger effect size for GAD symptoms.",not reported,low,low,low,low,high,high,high,high,,gain scores,-1.2,9.250293276,,,,,,,,,,
Field/2022/UK,High-dose Vitamin B6 supplementation reduces anxiety and strengthens visual surround suppression,Randomized Controlled Trial,yes,depression,adults (mostly students),,,,,,adults with no lactose intolerance and not taking multivitamins,none,,,478,vitamin b6,100 mg,daily,100 mg,3,52,5,MFQ,52,11.4,3.6,47,10.3,4.03,,23,19.4,"Data is limited by fact that not all participants completed all outcomes and also lack of baseline characteristic data other than age and gender. Data suggests that B6 may help with anxiety but has no affect on depression. B12 has no significant affect on depression or anxiety in this population. No vitamin levels were tested. B6 supplementation reduced self‐reported anxiety symptoms, with a larger effect size for GAD symptoms.",not reported,low,low,low,low,high,high,high,high,,gain scores,-1.1,6.673646071,,,,,,,,,,
Field/2022/UK,High-dose Vitamin B6 supplementation reduces anxiety and strengthens visual surround suppression,Randomized Controlled Trial,yes,depression,adults (mostly students),,,,,,adults with no lactose intolerance and not taking multivitamins,none,,,478,vitamin b12,1000 ug,daily,1000 ug,3,52,5,MFQ,52,11.1,3.94,48,10.8,4.09,,23,19.4,"Data is limited by fact that not all participants completed all outcomes and also lack of baseline characteristic data other than age and gender. Data suggests that B6 may help with anxiety but has no affect on depression. B12 has no significant affect on depression or anxiety in this population. No vitamin levels were tested. We found no clearly significant effects of vitamin B12 supplementation on the outcome measures, although there was a suggestive trend towards reduced anxiety",not reported,low,low,low,low,high,high,high,high,,gain scores,-0.3,10.2834819,,,,,,,,,,
Field/2022/UK,High-dose Vitamin B6 supplementation reduces anxiety and strengthens visual surround suppression,Randomized Controlled Trial,yes,depression,adults (mostly students),,,,,,adults with no lactose intolerance and not taking multivitamins,none,,,478,placebo,0,daily,,3,54,5,MFQ,54,9.8,3.5,51,10.7,3.93,,23,19.4,"Data is limited by fact that not all participants completed all outcomes and also lack of baseline characteristic data other than age and gender. Data suggests that B6 may help with anxiety but has no affect on depression. B12 has no significant affect on depression or anxiety in this population. No vitamin levels were tested. B6 supplementation reduced self‐reported anxiety symptoms, with a larger effect size for GAD symptoms.",not reported,low,low,low,low,high,high,high,high,,gain scores,0.9,4.691449333,,,,,,,,,,
Torrisi/2021/Italy,The role of rehabilitation and vitamin D supplementation on motor and psychological outcomes in poststroke patients,Randomized Controlled Trial,no,depression,stroke patients 30-60 post stroke,,vitamin D: 19.62 ng/mL,vitamin D: 7.92 ng/mL,vitamin D: 30.65 ng/mL,vitamin D: 6.36 ng/mL,"Patients with ischemic or hemorrhagic stroke outcomes that occurred between 30 and 60 days prior, and who were eligible for individual rehabilitation treatment. Excluded people with Mini Mental State Examination (MMSE) < 15. Patients with psychiatric diseases or treated with antidepressants. Patients already on vitamin D supplementation (including in combination with calcium, multivitamins, or other drugs). Medical conditions that would prevent the neurorehabilitation program. ",none,,stroke,40,vitamin D,2000 IU,daily,2000 IU,2,20,12,MADRS,15,22.13,6.68,15,9.73,4.7,,59.2,53.3,"Signi cant intra-group difference in outcomes measures was found but not between control group and experimental group. In the
vitamin D group, we highlighted signi cant differences between T0 and T1 in calcium (P < .001), vitamin D (P < .001), in Montgomery
Aasberg Depression Rating Scale (P= .001)",not reported,some concerns,high,high,high,high,some concerns,low,high,,gain scores,-12.4,12.68023374,,,,,,,,,,
Torrisi/2021/Italy,The role of rehabilitation and vitamin D supplementation on motor and psychological outcomes in poststroke patients,Randomized Controlled Trial,no,depression,stroke patients 30-60 post stroke,,vitamin D: 14.05 ng/mL,vitamin D: 4.9 ng/mL,vitamin D: 30.31 ng/mL,vitamin D: 4.03 ng/mL,"Patients with ischemic or hemorrhagic stroke outcomes that occurred between 30 and 60 days prior, and who were eligible for individual rehabilitation treatment. Excluded people with Mini Mental State Examination (MMSE) < 15. Patients with psychiatric diseases or treated with antidepressants. Patients already on vitamin D supplementation (including in combination with calcium, multivitamins, or other drugs). Medical conditions that would prevent the neurorehabilitation program. ",none,,stroke,40,none,,,,2,20,12,MADRS,14,21.86,10.43,14,16.36,11.63,,62.07,42.9,"Signi cant intra-group difference in outcomes measures was found but not between control group and experimental group. In the
vitamin D group, we highlighted signi cant differences between T0 and T1 in calcium (P < .001), vitamin D (P < .001), in Montgomery
Aasberg Depression Rating Scale (P= .001)",not reported,some concerns,high,high,high,high,some concerns,low,high,,gain scores,-5.5,7.053894863,,,,,,,,,,
