"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Hansen/2019/Denmark","Randomized Controlled Trial","yes","depression",62,"",34,24,"HAM-D18",18,9.59,1.34111893581442,38.7,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Zhang/2018/China","Randomized Controlled Trial","yes","depression",123,"100000 IU",58,8,"Beck Depression Inventory II",24.6,16.6,1.23428046888139,38.3,0.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Zhang/2018/China","Randomized Controlled Trial","yes","depression",123,"",65,8,"Beck Depression Inventory II",23.3,16.9,1.02948829709043,40.2,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Rolf/2017/Netherlands","Randomized Controlled Trial","yes","depression",58,"7000 IU/day in the first 4 weeks, followed by 14,000 IU/day up to week 48",20,48,"HADS-D",4,3,0.167705098312484,38.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Rolf/2017/Netherlands","Randomized Controlled Trial","yes","depression",58,"",20,48,"HADS-D",3,2,0.307459346906221,37.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Katta/2023/New Zealand","Randomized Controlled Trial","yes","depression",72,"",35,4,"DASS-21, depression",19.9,14.3,1.5263485840397,22.5,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"z.multinutrient",NA
"Katta/2023/New Zealand","Randomized Controlled Trial","yes","depression",72,"",37,4,"DASS-21, depression",15.5,10.9,1.380951493365,21.9,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Katta/2023/New Zealand","Randomized Controlled Trial","yes","anxiety",72,"",35,4,"DASS-21, anxiety",13.3,9.3,1.61931555205984,22.5,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"z.multinutrient",NA
"Katta/2023/New Zealand","Randomized Controlled Trial","yes","anxiety",72,"",37,4,"DASS-21, anxiety",12.5,8.69,1.36286760476141,21.9,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Nguyen/2009/Guatemala","Randomized Controlled Trial","yes","depression",459,"5000 ug,  120 mg,  30 mg,  16.8 ug",114,12,"CES-D",16.6,-2.3,0.86,31,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"z.B12,z.B9,z.iron,z.zinc","high"
