"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Sahraian/2015/Iran","Randomized Controlled Trial","yes","depression",43,"",22,8,"HAM-D",22.4,9.3,1.34316451304035,34.2,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.citalopram,z.placebo","high"
"Sahraian/2015/Iran","Randomized Controlled Trial","yes","depression",43,"1000 mg, 20 mg",21,8,"Beck Depression Inventory",23.9,8.6,2.33493142552512,32.7,0.286,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.C,z.citalopram","high"
"Sahraian/2015/Iran","Randomized Controlled Trial","yes","depression",43,"",22,8,"Beck Depression Inventory",22.8,9,2.04672687701386,34.2,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.citalopram,z.placebo","high"
"Syed/2013/Pakistan","Randomized Controlled Trial","no","depression",73,"1000 ug, varying doses of SSRI/TCA",34,12,"HAM-D",23.21,12.12,0.878072755929645,37.68,0.529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"z.B12,z.SSRI_TCA","high"
"Syed/2013/Pakistan","Randomized Controlled Trial","no","depression",73,"varying doses of TCA/SSRI",39,12,"HAM-D",19.38,14.38,0.757406167498062,36.56,0.5153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"z.SSRI_TCA","high"
"Khoraminya/2013/Iran","Randomized Controlled Trial","yes","depression",42,"1500 IU, 20 mg",20,8,"HAM-D",29.4,11.7,1.0285912696499,38.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"z.D,z.fluoxetine","low"
"Khoraminya/2013/Iran","Randomized Controlled Trial","yes","depression",42,"",20,8,"HAM-D",30.2,17.2,0.930204278639913,39.65,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"z.fluoxetine,z.placebo","low"
"Khoraminya/2013/Iran","Randomized Controlled Trial","yes","depression",42,"1500 IU, 20 mg",20,8,"Beck Depression Inventory",32.45,13.2,1.93196273255982,38.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"z.D,z.fluoxetine","low"
"Khoraminya/2013/Iran","Randomized Controlled Trial","yes","depression",42,"",20,8,"Beck Depression Inventory",31.65,17.95,1.41095889380237,39.65,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"z.fluoxetine,z.placebo","low"
"Scholten/2018/Netherlands","Randomized Controlled Trial","yes","depression",2,"1000 ug",44,8,"CES-D",19.4,18,0.979911869877732,41,0.2632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B12","some concerns"
"Scholten/2018/Netherlands","Randomized Controlled Trial","yes","depression",2,"",49,8,"CES-D",18.5,16.6,0.657142857142857,41,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Scholten/2018/Netherlands","Randomized Controlled Trial","yes","depression",2,"1000 ug",44,8,"HADS",9.6,9.6,0.346738046264428,41,0.2632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B12","some concerns"
"Scholten/2018/Netherlands","Randomized Controlled Trial","yes","depression",2,"",49,8,"HADS",9,9,0.228571428571429,41,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Scholten/2018/Netherlands","Randomized Controlled Trial","yes","anxiety",2,"1000 ug",44,8,"HADS",12.5,12.6,0.33166247903554,41,0.2632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B12","some concerns"
"Scholten/2018/Netherlands","Randomized Controlled Trial","yes","anxiety",2,"",49,8,"HADS",12.2,13.1,0.3,41,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Narula/2017/Canada","Randomized Controlled Trial","yes","depression",45,"1000 iu",16,52,"HADS",NA,NA,NA,35,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Narula/2017/Canada","Randomized Controlled Trial","yes","depression",45,"10000 iu",18,52,"HADS",NA,NA,NA,33,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Field/2022/UK Northern Ireland","Randomized Controlled Trial","yes","anxiety",478,"100 mg pyroxidine hydrochloride",47,5,"SCAARED",11.4,10.3,0.175037989797473,23,0.194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B6","high"
"Field/2022/UK Northern Ireland","Randomized Controlled Trial","yes","anxiety",478,"1000 ug methlycobalmin",48,5,"SCAARED",11.1,11.1,0.158771324027147,23,0.194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B12","high"
"Field/2022/UK Northern Ireland","Randomized Controlled Trial","yes","anxiety",478,"",51,5,"SCAARED",9.8,10.8,0.154030809243081,23,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Field/2022/UK Northern Ireland","Randomized Controlled Trial","yes","depression",478,"100 mg pyroxidine hydrochloride",47,5,"MFQ",24.8,21.5,1.85248539202326,23,0.194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B6","high"
"Field/2022/UK Northern Ireland","Randomized Controlled Trial","yes","depression",478,"1000 ug methlycobalmin",48,5,"MFQ",24.5,23,2.07846096908265,23,0.194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B12","high"
"Field/2022/UK Northern Ireland","Randomized Controlled Trial","yes","depression",478,"0",51,5,"MFQ",25.1,23.9,2.04440892268089,23,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Torrisi/2021/Italy","Randomized Controlled Trial","no","depression",40,"2000 IU",20,12,"MADRS",22.13,9.73,1.0509519494249,59.2,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Torrisi/2021/Italy","Randomized Controlled Trial","no","depression",40,"",20,12,"MADRS",21.86,16.36,2.60054705783226,62.07,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"z.none","high"
"Tarleton/2017/USA","Randomized Controlled Trial","no","depression",126,"248 mg",55,6,"PHQ-9",10.9,5.1,0.525875892721329,55.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","high"
"Tarleton/2017/USA","Randomized Controlled Trial","no","depression",126,"",57,6,"PHQ-9",10.8,9.2,0.741738119956424,50.1,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Bedson/2014/Wales","Randomized Controlled Trial","yes","depression",440,"",217,12,"AUC BDI-II",34,25.7,0.735188304666208,45,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Bedson/2014/Wales","Randomized Controlled Trial","yes","depression",440,"5mg",223,12,"AUC BDI-II",33,25.64,0.765409412998512,45,0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B9","low"
"Bedson/2014/Wales","Randomized Controlled Trial","yes","depression",440,"",217,12,"AUC MADRS",29,22.17,0.515242773076317,45,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Bedson/2014/Wales","Randomized Controlled Trial","yes","depression",440,"5 mg",223,12,"AUC MADRS",28,22.39,0.558487708172142,45,0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B9","low"
"Tarleton/2017/USA","Randomized Controlled Trial","no","anxiety",126,"248 mg",55,6,"GAD-7",8.9,4.4,0.539359889970594,55.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","high"
"Tarleton/2017/USA","Randomized Controlled Trial","no","anxiety",126,"",57,6,"GAD-7",9.2,9.2,0.781474090668376,50.1,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"Wadud/2024/Pakistan","Randomized Controlled Trial","no","depression",102,"500 mg",51,13,"HAM-D",20.92,14.35,1.16083218965922,NA,0.353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"z.C,z.SSRI","high"
"Wadud/2024/Pakistan","Randomized Controlled Trial","no","depression",102,"various",51,13,"HAM-D",23.14,12.53,0.904580934282094,NA,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"z.SSRI","high"
"Ghaderi/2017/Iran","Randomized Controlled Trial","yes","depression",68,"50000 iu",34,12,"Beck Depression Inventory",22.3,-4.8,1.25193967154031,40.1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Ghaderi/2017/Iran","Randomized Controlled Trial","yes","depression",68,"",34,12,"Beck Depression Inventory",23,-1.5,1.0461413693693,42.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Ghaderi/2017/Iran","Randomized Controlled Trial","yes","depression",68,"50000 iu",34,12,"BAI",18.5,3.7,1.33768896411157,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Ghaderi/2017/Iran","Randomized Controlled Trial","yes","depression",68,"0",34,12,"BAI",19,-1.3,0.77174363314129,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Coppen/2000/UK","Randomized Controlled Trial","yes","depression",127,"20 mg",62,10,"HRS",26.6,10.7,0.901700901701353,44.3,0.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"z.fluoxetine",NA
"Coppen/2000/UK","Randomized Controlled Trial","yes","depression",127,"500 ug, 20 mg",65,10,"HRS",26.8,8.1,0.669787566781726,41.9,0.353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"z.B9,z.fluoxetine",NA
"America/2008/US","Randomized Controlled Trial","no","depression",114,"thiamin (b1) 100 mg, riboflavin (b2) 100 mg, niacin (b3) 100 mg, folic acid (b9)  400 mcg, biotin (b7) 100 mcg,  B12 100 mcg,  B6 100 mg,pantothenic acid (b5) 100 mg",31,6,"Beck Depression Inventory",6,3.45,0.899822563154142,22.5,0.29,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B1,z.B12,z.B2,z.B3,z.B5,z.B6,z.B7,z.B9","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"Vitamin A: 1500 IU, Vitamin C: 250 mg, Vitamin D: 400 IU, Vitamin E: 150 IU, Thiamin (B1): 75 mg, Riboflavin (B2): 75 mg, Niacin (B3): 75 mg, Vitamin B6: 75 mg, Folic Acid: 400 ug, Vitamin B12: 75 mg, Biotin: 75 mcg, Pantothenic Acid: 75 mg, Calcium: 20 mg, Iron: 1.3 mg, Magnesium: 10 mg, Zinc: 10 mg",27,6,"Beck Depression Inventory",5.93,4.07,0.67934881674646,22.5,0.259,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,"z.A,z.B1,z.B12,z.B2,z.B3,z.B5,z.B6,z.B7,z.B9,z.C,z.calcium,z.D,z.E,z.iron,z.magnesium,z.zinc","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"methyl-cellulose",28,6,"Beck Depression Inventory",4.08,2.36,0.517811328022641,22.5,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"",28,6,"Beck Depression Inventory",6.32,7.04,1.26807080694596,22.5,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"z.none","high"
"Wang/2016/China","Randomized Controlled Trial","yes","depression",726,"50000 iu",362,52,"Beck Depression Inventory",22.7,19.6,0.194467682554226,NA,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Wang/2016/China","Randomized Controlled Trial","yes","depression",726,"",364,52,"Beck Depression Inventory",21.9,20.8,0.267312633364089,NA,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Barragan-Rodriguez/2008/Mexico","Randomized Controlled Trial","no","depression",23,"2.5 mg, 450 mg",12,12,"Yasavage and Brink Depression Scale",17.9,11.4,1.09696551146029,67.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"z.magnesium","high"
"Barragan-Rodriguez/2008/Mexico","Randomized Controlled Trial","no","depression",23,"50 mg",11,12,"Yasavage and Brink Depression Scale",16.1,10.9,1.29649878168438,67.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"z.imipramine","high"
"Yosaee/2020/Iran","Randomized Controlled Trial","yes","depression",140,"2000 iu",27,12,"Beck Depression Inventory",NA,-3.87,1.11,38.28,0.794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","high"
"Yosaee/2020/Iran","Randomized Controlled Trial","yes","depression",140,"30 mg",24,12,"Beck Depression Inventory",NA,-7.02,1.06,38.71,0.7647,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"z.zinc","high"
"Yosaee/2020/Iran","Randomized Controlled Trial","yes","depression",140,"30 mg, 2000 iu",25,12,"Beck Depression Inventory",NA,-7.62,1.46,38.93,0.7273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"z.D,z.zinc","high"
"Yosaee/2020/Iran","Randomized Controlled Trial","yes","depression",140,"",22,12,"Beck Depression Inventory",NA,-0.76,1.11,37.31,0.8125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"thiamin (b1) 100 mg, riboflavin (b2) 100 mg, niacin (b3) 100 mg, folic acid (b9)  400 mcg, biotin (b7) 100 mcg,  B12 100 mcg,  B6 100 mg,pantothenic acid (b5) 100 mg",31,6,"POMS-D",9.44,7.65,1.3865529316467,22.5,0.29,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B1,z.B12,z.B2,z.B3,z.B5,z.B6,z.B7,z.B9","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"Vitamin A: 1500 IU, Vitamin C: 250 mg, Vitamin D: 400 IU, Vitamin E: 150 IU, Thiamin (B1): 75 mg, Riboflavin (B2): 75 mg, Niacin (B3): 75 mg, Vitamin B6: 75 mg, Folic Acid: 400 ug, Vitamin B12: 75 mg, Biotin: 75 mcg, Pantothenic Acid: 75 mg, Calcium: 20 mg, Iron: 1.3 mg, Magnesium: 10 mg, Zinc: 10 mg",27,6,"POMS-D",6.85,7.22,1.2355295760658,22.5,0.259,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,"z.A,z.B1,z.B12,z.B2,z.B3,z.B5,z.B6,z.B7,z.B9,z.C,z.calcium,z.D,z.E,z.iron,z.magnesium,z.zinc","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"methyl-cellulose",28,6,"POMS-D",8.82,8.27,1.16980004396356,22.5,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","high"
"America/2008/US","Randomized Controlled Trial","no","depression",114,"",28,6,"POMS-D",9.57,11.15,1.69895030617648,22.5,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"z.none","high"
